"HolderAddress","Balance","PendingBalanceUpdate"
"0xf063407ce9ed606f0910a388b7b6f7cecb00e013","85733226.8088377","No"
"0xb2b8a63e7756157a28b3329e62d7a0ecaf1c32d4","159990.169711865","No"
"0xf401fcde41d0e04f3c553e42961a87a44e713543","79910848.8317901","No"
"0x6df7eba031a83c193334394e4a81dcb6908dd6e8","95235569.6935092","No"
"0xd644727604969b78345616abcee5e6a7ec741a3d","1186749.96769966","No"
"0xdb5b9d6839658851c0b2c73204e76b79efddf885","1270205.88831396","No"
"0xa539e06a23a63a02269c7e836a478de0f359dafb","1253904808.72185","No"
"0x6add59a3f2a6e5dd1e0271a78e56310cbf4f73f7","6304689.88798123","No"
"0x17ec5075d3b2912bef9b961eca8b813d596a945f","58275.5482918582","No"
"0x37b43d27847234b83f7cf06729683d19d8bfbcf7","14831839675.4411","No"
"0xaa15a42ae5e518079d061599090f656f68c56119","71483705.0637727","No"
"0xb383d12f4b57b1864f77d390cf0dd444f9996fb3","3936.10608950326","No"
"0xc5a65ee2ed5a6abb948e4536ddf16277f48adb5c","1676275645.5161","No"
"0x5f842eb8b6849cf1f31b0e2d678a2a34607b6337","3038290.69005804","No"
"0x9f28011f36621ae9194ebcc63f572fb1e80aa1f5","45.4439355654486","No"
"0x9303a1ab806caaf8b62d12f50a4d25d7f8ced589","1314674637.20381","No"
"0xef210d78a437bd042a3d4b2a483ee942def43600","1548560067.67667","No"
"0xa55584193250d78aaf6ba12aef666ef761de90e8","180183004.725397","No"
"0x1757b0c13f174fadbe0e0a8f199b7008c30623c6","62456926.6254245","No"
"0xc3f969190efa9e797da67ea7916f0bd3f79b7968","20723946.737114","No"
"0x6cb146ce5c6fefe220144fd0597728e0a7c5f546","28026.7070578298","No"
"0x1f82a337251fee6e4076c2cbed9491116c46027d","66047929.9563744","No"
"0xb15eacfc2905a931ccfc9234c569c3990b785bd1","5305536.62735429","No"
"0x743bf89f29bacdf8a83b91f737b28b19b1d4def7","12857620.2189242","No"
"0xf8228e6fd447b95b633731713565a8cac489c956","441140584.383811","No"
"0xd2142c32f10023367b86f8a68a2b72dae647fda3","479861157.783908","No"
"0xca9b2fc0bc4a4a3a7f530e17e801ec637b1bb52b","9858941.17860169","No"
"0xeabc1405612a79ebc7a477ee2d4efd688d57698e","288662893.116326","No"
"0x39fd3948d74ad8ab517212f8c13aeb8da83d357a","177132.470508002","No"
"0x56c15882fbf86cd017ff86b0221d01b25ef6be0a","365148674.943877","No"
"0x6eba1db6a428852d5fe5f2e651d991613a601f30","3211640.33333521","No"
"0x70b4e7da1ae7fd1ed03043bc123d6c6610f36d2b","31916344.1442279","No"
"0x71361ee2567e8c52ec0ef256ad35c8dbfa5d7c06","6057541.69950969","No"
